Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Demo,,,,2023-02-28 16:40:09,2023-02-28 16:46:48,6m - 39.391s,PASSED
,,,,,,,
Test Cases/Demo/TC 01 - Registration with Debit Card,,,,2023-02-28 16:40:10,2023-02-28 16:41:51,1m - 41.051s,PASSED
Start listener action : enableSauceLabs,,,,2023-02-28 16:40:10,2023-02-28 16:40:10,0.053s,PASSED
"startExistingApplication(""com.cbt.ajmandigital"", CONTINUE_ON_FAILURE)",,,,2023-02-28 16:40:11,2023-02-28 16:40:44,32.796s,PASSED
"waitForElementPresent(findTestObject(""1.Registration and Login/Welcome Page/button_Already a Customer""), 0)",,,,2023-02-28 16:40:44,2023-02-28 16:40:59,14.915s,PASSED
"tap(findTestObject(""1.Registration and Login/Welcome Page/button_Already a Customer""), 0)",,,,2023-02-28 16:40:59,2023-02-28 16:41:00,1.650s,PASSED
"waitForElementPresent(findTestObject(""1.Registration and Login/Card Details Page/Radio Button_Debit Card""), 0)",,,,2023-02-28 16:41:00,2023-02-28 16:41:01,0.438s,PASSED
"tap(findTestObject(""1.Registration and Login/Card Details Page/Radio Button_Debit Card""), 0)",,,,2023-02-28 16:41:01,2023-02-28 16:41:01,0.463s,PASSED
"setText(findTestObject(""1.Registration and Login/Card Details Page/Text Box_Card Number""), ""5244550100131688"", 0)",,,,2023-02-28 16:41:01,2023-02-28 16:41:02,0.821s,PASSED
"setText(findTestObject(""1.Registration and Login/Card Details Page/Text Box_Card Pin""), ""4631"", 0)",,,,2023-02-28 16:41:02,2023-02-28 16:41:03,0.941s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-02-28 16:41:03,2023-02-28 16:41:05,2.126s,PASSED
takeScreenshot(),,,,2023-02-28 16:41:05,2023-02-28 16:41:06,1.014s,PASSED
"tap(findTestObject(""1.Registration and Login/Card Details Page/Button_Next on Card details""), 0)",,,,2023-02-28 16:41:06,2023-02-28 16:41:07,1.044s,PASSED
"waitForElementPresent(findTestObject(""1.Registration and Login/OTP Page/label_Enter OTP""), 60)",,,,2023-02-28 16:41:07,2023-02-28 16:41:16,8.693s,PASSED
"callTestCase(findTestCase(""Utilities/Enter_OTP""), [:], CONTINUE_ON_FAILURE)",,,,2023-02-28 16:41:16,2023-02-28 16:41:23,7.666s,PASSED
"tap(findTestObject(""1.Registration and Login/OTP Page/Button_Verify OTP""), 0)",,,,2023-02-28 16:41:23,2023-02-28 16:41:25,1.630s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-02-28 16:41:25,2023-02-28 16:41:30,5.020s,PASSED
"setText(findTestObject(""1.Registration and Login/mPIN Page/Text Box_Create mPIN""), ""102030"", 0)",,,,2023-02-28 16:41:30,2023-02-28 16:41:31,0.599s,PASSED
"setText(findTestObject(""1.Registration and Login/mPIN Page/Text Box_Confirm mPIN Entry""), ""102030"", 0)",,,,2023-02-28 16:41:31,2023-02-28 16:41:32,0.891s,PASSED
"tap(findTestObject(""1.Registration and Login/mPIN Page/Button_Next mPIN Page""), 0)",,,,2023-02-28 16:41:32,2023-02-28 16:41:33,1.230s,PASSED
"waitForElementPresent(findTestObject(""1.Registration and Login/mPIN Page/Button_Maybe later Biometric""), 0)",,,,2023-02-28 16:41:33,2023-02-28 16:41:34,1.027s,PASSED
"tap(findTestObject(""1.Registration and Login/mPIN Page/Button_Maybe later Biometric""), 0)",,,,2023-02-28 16:41:34,2023-02-28 16:41:35,1.340s,PASSED
"waitForElementPresent(findTestObject(""2.Dashboard/Profile Settings/Image_Profile Picture_Profile Settings""), 0)",,,,2023-02-28 16:41:35,2023-02-28 16:41:41,5.627s,PASSED
takeScreenshot(),,,,2023-02-28 16:41:41,2023-02-28 16:41:42,1.299s,PASSED
"callTestCase(findTestCase(""Utilities/Logout""), [:], CONTINUE_ON_FAILURE)",,,,2023-02-28 16:41:42,2023-02-28 16:41:50,7.638s,PASSED
