Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Demo,,,,2023-03-02 11:53:15,2023-03-02 11:55:11,1m - 55.711s,FAILED
,,,,,,,
Test Cases/Demo/TC 01 - Registration with Debit Card,,,,2023-03-02 11:53:16,2023-03-02 11:55:09,1m - 53.369s,PASSED
Start listener action : enableSauceLabs,,,,2023-03-02 11:53:16,2023-03-02 11:53:16,0.069s,PASSED
"callTestCase(findTestCase(""Utilities/BrowserStackIntegration""), [:], CONTINUE_ON_FAILURE)",,,,2023-03-02 11:53:18,2023-03-02 11:53:59,41.099s,PASSED
"waitForElementPresent(findTestObject(""1.Registration and Login/Welcome Page/button_Already a Customer""), 0)",,,,2023-03-02 11:53:59,2023-03-02 11:54:09,10.354s,PASSED
"tap(findTestObject(""1.Registration and Login/Welcome Page/button_Already a Customer""), 0)",,,,2023-03-02 11:54:09,2023-03-02 11:54:10,1.098s,PASSED
"waitForElementPresent(findTestObject(""1.Registration and Login/Card Details Page/Radio Button_Debit Card""), 0)",,,,2023-03-02 11:54:10,2023-03-02 11:54:11,1.340s,PASSED
"tap(findTestObject(""1.Registration and Login/Card Details Page/Radio Button_Debit Card""), 0)",,,,2023-03-02 11:54:11,2023-03-02 11:54:12,1.023s,PASSED
"setText(findTestObject(""1.Registration and Login/Card Details Page/Text Box_Card Number""), ""5244550100131688"", 0)",,,,2023-03-02 11:54:12,2023-03-02 11:54:14,1.319s,PASSED
"setText(findTestObject(""1.Registration and Login/Card Details Page/Text Box_Card Pin""), ""4631"", 0)",,,,2023-03-02 11:54:14,2023-03-02 11:54:15,1.184s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2023-03-02 11:54:15,2023-03-02 11:54:17,2.040s,PASSED
takeScreenshot(),,,,2023-03-02 11:54:17,2023-03-02 11:54:18,1.028s,PASSED
"tap(findTestObject(""1.Registration and Login/Card Details Page/Button_Next on Card details""), 0)",,,,2023-03-02 11:54:18,2023-03-02 11:54:19,0.706s,PASSED
"waitForElementPresent(findTestObject(""1.Registration and Login/OTP Page/label_Enter OTP""), 60)",,,,2023-03-02 11:54:19,2023-03-02 11:54:30,11.143s,PASSED
"callTestCase(findTestCase(""Utilities/Enter_OTP""), [:], CONTINUE_ON_FAILURE)",,,,2023-03-02 11:54:30,2023-03-02 11:54:39,8.670s,PASSED
"tap(findTestObject(""1.Registration and Login/OTP Page/Button_Verify OTP""), 0)",,,,2023-03-02 11:54:39,2023-03-02 11:54:40,1.075s,PASSED
"delay(5, STOP_ON_FAILURE)",,,,2023-03-02 11:54:40,2023-03-02 11:54:45,5.021s,PASSED
"setText(findTestObject(""1.Registration and Login/mPIN Page/Text Box_Create mPIN""), ""102030"", 0)",,,,2023-03-02 11:54:45,2023-03-02 11:54:46,1.012s,PASSED
"setText(findTestObject(""1.Registration and Login/mPIN Page/Text Box_Confirm mPIN Entry""), ""102030"", 0)",,,,2023-03-02 11:54:46,2023-03-02 11:54:47,1.127s,PASSED
"tap(findTestObject(""1.Registration and Login/mPIN Page/Button_Next mPIN Page""), 0)",,,,2023-03-02 11:54:47,2023-03-02 11:54:48,0.974s,PASSED
"waitForElementPresent(findTestObject(""1.Registration and Login/mPIN Page/Button_Maybe later Biometric""), 0)",,,,2023-03-02 11:54:48,2023-03-02 11:54:49,1.370s,PASSED
"tap(findTestObject(""1.Registration and Login/mPIN Page/Button_Maybe later Biometric""), 0)",,,,2023-03-02 11:54:49,2023-03-02 11:54:50,0.651s,PASSED
"waitForElementPresent(findTestObject(""2.Dashboard/Profile Settings/Image_Profile Picture_Profile Settings""), 0)",,,,2023-03-02 11:54:50,2023-03-02 11:54:57,6.834s,PASSED
takeScreenshot(),,,,2023-03-02 11:54:57,2023-03-02 11:54:58,1.090s,PASSED
"callTestCase(findTestCase(""Utilities/Logout""), [:], CONTINUE_ON_FAILURE)",,,,2023-03-02 11:54:58,2023-03-02 11:55:08,10.174s,PASSED
closeApplication(),,,,2023-03-02 11:55:08,2023-03-02 11:55:09,1.488s,PASSED
Start listener action : autoUpdateJobStatus,,,,2023-03-02 11:55:09,2023-03-02 11:55:09,0.002s,PASSED
,,,,,,,
Test Cases/Demo/TC 01 - Login with mPIN,,,,2023-03-02 11:55:09,2023-03-02 11:55:11,1.675s,FAILED
Start listener action : enableSauceLabs,,,,2023-03-02 11:55:10,2023-03-02 11:55:10,0.002s,PASSED
"startExistingApplication(""com.cbt.ajmandigital"", STOP_ON_FAILURE)",,,,2023-03-02 11:55:11,2023-03-02 11:55:11,0.109s,FAILED
Start listener action : autoUpdateJobStatus,,,,2023-03-02 11:55:11,2023-03-02 11:55:11,0.000s,PASSED
