Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_002,,,,2023-02-27 13:55:03,2023-02-27 14:03:58,8m - 55.368s,FAILED
,,,,,,,
Test Cases/Payments/TC 01 - New Bill Payment,,,,2023-02-27 13:55:04,2023-02-27 13:58:07,3m - 3.720s,FAILED
Start listener action : enableSauceLabs,,,,2023-02-27 13:55:04,2023-02-27 13:55:04,0.074s,PASSED
"callTestCase(findTestCase(""Utilities/Login""), [:], CONTINUE_ON_FAILURE)",,,,2023-02-27 13:55:05,2023-02-27 13:55:55,50.193s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/tab_PAY""), 0)",,,,2023-02-27 13:55:55,2023-02-27 13:55:56,0.930s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/tab_Bills""), 0)",,,,2023-02-27 13:55:56,2023-02-27 13:55:58,1.707s,PASSED
"tap(findTestObject(""3.Payments/Payments_page/button_NewBill""), 0)",,,,2023-02-27 13:55:58,2023-02-27 13:56:00,2.140s,PASSED
delay(2),,,,2023-02-27 13:56:00,2023-02-27 13:56:02,2.076s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Label_Select Biller"", [""biller"":biller]), 0)",,,,2023-02-27 13:56:02,2023-02-27 13:56:03,0.680s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Label_Select Sub Biller"", [""subBiller"":subBiller]), 0)",,,,2023-02-27 13:56:03,2023-02-27 13:56:10,7.502s,PASSED
"delay(5, CONTINUE_ON_FAILURE)",,,,2023-02-27 13:56:10,2023-02-27 13:56:15,5.025s,PASSED
"callTestCase(findTestCase(""Utilities/Account Selection Based on AccountNumber""), [""accountNumber"":accountNumber], CONTINUE_ON_FAILURE)",,,,2023-02-27 13:56:15,2023-02-27 13:56:17,1.119s,PASSED
"tap(findTestObject(""3.Payments/Pay To New Biller/Text Box_Account Number Entry""), 0)",,,,2023-02-27 13:56:17,2023-02-27 13:56:17,0.424s,PASSED
"setText(findTestObject(""3.Payments/Pay To New Biller/Text Box_Account Number Entry""), consumerNumber, 0)",,,,2023-02-27 13:56:17,2023-02-27 13:56:18,1.248s,PASSED
pressBack(),,,,2023-02-27 13:56:18,2023-02-27 13:56:19,0.716s,PASSED
"if (biller == ""Salik"")",,,,2023-02-27 13:56:19,2023-02-27 13:56:19,0.001s,PASSED
takeScreenshot(),,,,2023-02-27 13:56:19,2023-02-27 13:56:21,1.957s,PASSED
